City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
0,Kalmunai,LK,76.33,scattered clouds,7.4167,81.8167,VS Villa
2,Hilo,US,78.12,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
7,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
9,Rikitea,PF,76.55,overcast clouds,-23.1203,-134.9692,People ThankYou
13,Vaini,TO,80.15,light rain,-21.2,-175.2,Keleti Beach Resort
18,Arraial Do Cabo,BR,76.86,light rain,-22.9661,-42.0278,Pousada Porto Praia
23,Mahebourg,MU,79.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Palembang,ID,77.09,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
31,Tamandare,BR,79.36,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
38,Pamekasan,ID,77.67,moderate rain,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
40,Padang,ID,75.25,moderate rain,-0.9492,100.3543,Mercure Padang
41,Rawang,MY,77.23,broken clouds,3.3213,101.5767,Hotel Pristine
43,Isangel,VU,77.27,overcast clouds,-19.55,169.2667,Tanna Lodge
44,Auki,SB,81.81,overcast clouds,-8.7676,160.7034,Auki Motel
50,Farafenni,GM,88.43,overcast clouds,13.5667,-15.6,Eddy's Hotel
64,Bantogon,PH,77.63,few clouds,6.5333,124.0333,Kalamansig Greenhome
65,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
66,Faanui,PF,80.6,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
67,Paso De Ovejas,MX,75.02,broken clouds,19.2833,-96.4333,HOTEL JARDINES
73,Flinders,AU,79.38,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
75,Antalaha,MG,75.33,few clouds,-14.9003,50.2788,Hotel Vitasoa
77,Butaritari,KI,82.04,light rain,3.0707,172.7902,Isles Sunset Lodge
82,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.0833,Scoop Guest House
95,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
97,Sola,VU,79.47,overcast clouds,-13.8833,167.55,Leumerus Bungalows
101,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
103,Pandan,PH,77.02,scattered clouds,14.0453,124.1694,Bonifacio Lodge
112,Bambous Virieux,MU,79.05,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
116,Ballina,AU,77.04,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
117,Cayenne,GF,78.1,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
119,Carnarvon,AU,77.52,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
121,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
122,San Policarpo,PH,77.74,scattered clouds,12.1791,125.5072,Agapita M. Nicart
124,Hervey Bay,AU,82.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
129,Bandarbeyla,SO,75.54,overcast clouds,9.4942,50.8122,JABIR HOTEL
132,Tautira,PF,84.0,overcast clouds,-17.7333,-149.15,Pension Oaoa
138,Port Macquarie,AU,77.9,clear sky,-31.4333,152.9167,Rydges Port Macquarie
139,Juba,SS,79.18,scattered clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
140,Poum,NC,80.26,overcast clouds,-20.2333,164.0167,Gîte kajeon
141,Pirapora,BR,76.71,overcast clouds,-17.345,-44.9419,Santos Palace Hotel
148,Krian,ID,76.82,overcast clouds,-7.4104,112.5792,Warung Jibril
150,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
161,Namatanai,PG,81.3,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
165,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
167,Elmina,GH,78.64,overcast clouds,5.0898,-1.348,Esteem Kofi and Adjoa Guesthouse
170,Nicoya,CR,83.75,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
178,Sao Joao Da Barra,BR,76.77,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
188,Lompoc,US,75.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
193,Tucuma,BR,75.36,overcast clouds,-0.1833,-50.05,
196,Ixtapa,MX,76.23,clear sky,20.7,-105.2,
