City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
0,Kalmunai,LK,2022-01-30 22:04:17,7.4167,81.8167,76.33,88,50,5.06,scattered clouds
1,Punta Arenas,CL,2022-01-30 22:04:17,-53.15,-70.9167,51.91,50,75,23.02,broken clouds
2,Hilo,US,2022-01-30 22:02:19,19.7297,-155.09,78.12,58,83,5.01,broken clouds
3,Longyearbyen,SJ,2022-01-30 22:04:18,78.2186,15.6401,8.44,61,0,20.71,clear sky
4,Albany,US,2022-01-30 22:01:50,42.6001,-73.9662,19.15,41,11,4.0,few clouds
5,Ushuaia,AR,2022-01-30 22:01:32,-54.8,-68.3,48.72,56,64,9.35,broken clouds
6,Ribeira Grande,PT,2022-01-30 22:04:19,38.5167,-28.7,59.13,73,47,26.37,scattered clouds
7,Atuona,PF,2022-01-30 22:02:49,-9.8,-139.0333,78.08,77,11,13.69,light rain
8,Port Alfred,ZA,2022-01-30 22:04:19,-33.5906,26.891,73.78,88,97,17.18,overcast clouds
9,Rikitea,PF,2022-01-30 22:01:23,-23.1203,-134.9692,76.55,69,100,4.16,overcast clouds
10,Kunyang,CN,2022-01-30 22:00:15,27.6658,120.5658,36.63,76,2,4.27,clear sky
11,Carballo,ES,2022-01-30 22:04:20,43.213,-8.691,47.62,82,0,1.21,clear sky
12,Marsa Matruh,EG,2022-01-30 22:04:20,31.3525,27.2453,55.4,74,62,15.97,broken clouds
13,Vaini,TO,2022-01-30 22:04:21,-21.2,-175.2,80.15,77,100,12.71,light rain
14,Sao Filipe,CV,2022-01-30 22:04:21,14.8961,-24.4956,70.99,74,99,14.36,overcast clouds
15,Bluff,NZ,2022-01-30 22:02:12,-46.6,168.3333,68.81,85,93,4.43,overcast clouds
16,Tura,IN,2022-01-30 22:04:22,25.5198,90.2201,51.78,59,2,3.31,clear sky
17,Salalah,OM,2022-01-30 22:01:02,17.0151,54.0924,68.04,68,13,1.88,few clouds
18,Arraial Do Cabo,BR,2022-01-30 22:04:23,-22.9661,-42.0278,76.86,88,75,10.36,light rain
19,Fairbanks,US,2022-01-30 22:04:23,64.8378,-147.7164,-8.09,74,0,0.0,clear sky
20,Cape Town,ZA,2022-01-30 22:04:23,-33.9258,18.4232,73.81,77,0,3.0,clear sky
21,Guerrero Negro,MX,2022-01-30 22:04:24,27.9769,-114.0611,65.1,52,90,14.0,overcast clouds
22,Mar Del Plata,AR,2022-01-30 22:00:09,-38.0023,-57.5575,66.87,86,40,18.99,thunderstorm with light rain
23,Mahebourg,MU,2022-01-30 22:04:25,-20.4081,57.7,79.09,94,75,11.5,light intensity shower rain
24,Kapaa,US,2022-01-30 22:01:38,22.0752,-159.319,80.58,75,12,4.0,few clouds
25,Llandrindod Wells,GB,2022-01-30 22:04:25,52.2416,-3.3787,47.91,83,88,26.33,overcast clouds
26,Jamestown,US,2022-01-30 22:04:26,42.097,-79.2353,20.52,55,100,3.0,overcast clouds
27,Palembang,ID,2022-01-30 22:01:42,-2.9167,104.7458,77.09,94,20,2.3,few clouds
28,Dikson,RU,2022-01-30 22:04:27,73.5069,80.5464,-3.62,93,100,21.07,overcast clouds
